"Country","CasePerCap","DeathsPerCap","Population"
"Afghanistan",97.6873989564204,3.49090107674846,38041754
"Albania",228.996587824711,7.00723952951992,2854191
"Algeria",82.9488193799213,3.04740286252399,43053054
"Andorra",1248.34720385782,67.4081563869228,77142
"Angola",5.27567772741777,0.245088065955084,31825295
"Antigua and Barbuda",94.7301221194835,3.08902572128751,97118
"Argentina",564.920507735068,10.6011049003808,44938712
"Armenia",1367.02763030174,26.9125217945783,2957731
"Australia",85.6045465779925,1.30498341626286,25364307
"Austria",249.023692172201,8.14458198862305,8877067
"Azerbaijan",335.687244483314,4.90855423323893,10023318
"Bahamas",242.629954657725,3.85126912155119,389482
"Bahrain",2705.20091739318,9.93192669628777,1641172
"Bangladesh",159.774997707551,2.10860530472717,163046161
"Barbados",49.4730424179078,2.43881195017856,287025
"Belarus",728.298814305404,6.22170655178446,9466856
"Belgium",649.770486121845,86.0236214473024,11484055
"Belize",45.343573637195,0.512356764262091,390353
"Benin",16.4051794608848,0.322002489418193,11801151
"Bolivia",795.919430909138,32.2415335574259,11513100
"Bosnia and Herzegovina",439.200242350803,12.8748863980612,3301000
"Botswana",46.2734465513477,0.0868169728918343,2303697
"Brazil",1448.69786891302,48.2123800258505,211049527
"Brunei",32.7728862065384,0.692384919856446,433285
"Bulgaria",193.699296750562,6.57992726528331,6975761
"Burkina Faso",5.92479506064992,0.265730011025827,20321378
"Burundi",3.53841697468818,0.00867259062423573,11530580
"Cabo Verde",524.243774264231,5.81886950275942,549935
"Cameroon",69.7238176282772,1.52648863558195,25876380
"Canada",324.701772543446,24.033459342724,37589262
"Central African Republic",97.8044059399159,1.26443963723227,4745185
"Chad",5.92592555432174,0.4765823726227,15946876
"Chile",1978.91118622704,53.4982042564499,18952038
"China",6.36081032256218,0.335476116375656,1397715000
"Colombia",789.883590885183,26.1306029945544,50339443
"Comoros",46.8922981456975,0.822671897292939,850886
"Congo",14.2702035318564,0.3059528165425,92171075
"Costa Rica",472.941287881414,4.83401785535628,5047561
"Cote d'Ivoire",65.3198190238937,0.408297475741686,25716544
"Croatia",138.881376767056,3.88444990780578,4067500
"Cuba",26.8761156654137,0.776460334391466,11333483
"Cyprus",104.457376467889,1.5852157770686,1198575
"Czech Republic",173.331812517099,3.65520746629547,10669709
"Denmark",260.116217898161,10.6555702079194,5818553
"Djibouti",549.221414191216,6.06023254858458,973560
"Dominican Republic",749.597866012699,12.3661904627991,10738958
"Ecuador",545.083701985223,34.1436364998928,17373662
"Egypt",95.2961812505356,5.01553605875072,100388073
"El Salvador",323.418743132659,8.7238765994484,6453553
"Equatorial Guinea",355.534644162993,6.12100714904136,1355986
"Estonia",162.672717267581,4.74901815934087,1326590
"Eswatini",288.207781348802,5.31298720528163,1148130
"Ethiopia",21.048596821181,0.374736580259252,112078730
"Fiji",3.03386808067392,0.112365484469405,889953
"Finland",137.691442914298,6.03226555590859,5520314
"France",356.918287082709,45.2237564909705,67059887
"Gabon",368.502135020176,2.34744053035586,2172579
"Gambia",52.6045424767837,0.979679738434029,2347706
"Georgia",33.5987003485126,0.456942324739771,3720382
"Germany",262.842106398944,11.0702395573136,83132799
"Ghana",135.48620915294,0.706821677372659,30417856
"Greece",53.6471375160246,1.98762224576678,10716322
